RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
EnglandRegion,East Midlands,21 December 2020,8,6,0,41,2,0,43,24.1,14.1,17.3,24.2,32.0,34.3
EnglandRegion,East Midlands,28 December 2020,13,6,0,47,0,0,34,26.8,16.8,20.6,27.8,33.0,34.4
EnglandRegion,East Midlands,4 January 2021,16,3,0,37,0,1,42,26.9,15.2,21.5,29.8,32.5,33.9
EnglandRegion,East Midlands,11 January 2021,13,18,0,48,2,0,18,28.7,16.4,25.1,31.6,33.6,34.3
EnglandRegion,East Midlands,18 January 2021,18,14,0,54,0,0,15,29.2,20.1,26.6,31.5,33.7,34.7
EnglandRegion,East Midlands,25 January 2021,25,9,0,54,0,1,10,27.3,15.8,21.0,29.9,33.9,34.9
EnglandRegion,East Midlands,1 February 2021,22,9,0,59,0,0,10,27.5,17.6,21.7,30.8,33.1,34.4
EnglandRegion,East Midlands,8 February 2021,26,9,0,57,0,2,6,29.2,17.6,26.8,31.1,33.0,34.4
EnglandRegion,East Midlands,15 February 2021,23,3,0,69,0,0,5,27.7,14.5,22.6,31.4,33.1,34.6
EnglandRegion,East Midlands,22 February 2021,36,0,0,50,0,0,14,28.8,18.9,25.0,31.0,33.5,35.0
EnglandRegion,West Midlands,28 September 2020,3,6,0,8,0,3,81,25.2,16.2,19.5,26.4,30.2,32.1
EnglandRegion,West Midlands,5 October 2020,14,2,0,7,2,0,76,25.1,15.5,18.4,25.3,32.0,33.6
EnglandRegion,West Midlands,12 October 2020,12,2,1,6,1,0,78,25.4,16.9,20.5,25.7,29.9,33.9
EnglandRegion,West Midlands,19 October 2020,16,2,0,5,4,2,71,26.4,16.5,20.4,27.7,31.7,34.5
EnglandRegion,West Midlands,26 October 2020,9,5,0,3,0,4,80,25.5,17.6,20.2,25.7,31.0,33.1
EnglandRegion,West Midlands,2 November 2020,7,7,0,7,2,1,77,27.1,19.2,22.8,28.9,31.8,33.2
EnglandRegion,West Midlands,9 November 2020,19,6,0,10,1,0,64,26.6,15.7,21.0,28.8,32.3,34.0
EnglandRegion,West Midlands,16 November 2020,7,12,0,7,2,1,71,27.8,18.2,24.2,29.6,32.6,33.9
EnglandRegion,West Midlands,23 November 2020,15,6,0,7,0,1,71,27.4,18.5,23.2,28.4,31.8,34.1
EnglandRegion,West Midlands,30 November 2020,15,9,0,14,0,5,58,30.6,24.9,28.5,31.9,33.8,35.1
EnglandRegion,West Midlands,7 December 2020,27,10,0,14,0,1,47,29.5,18.6,25.4,31.8,33.9,35.0
EnglandRegion,West Midlands,14 December 2020,15,8,1,22,3,0,51,26.4,17.0,21.8,27.8,31.6,33.3
EnglandRegion,West Midlands,21 December 2020,7,11,0,46,2,0,33,26.0,17.4,19.7,27.3,32.1,33.2
EnglandRegion,West Midlands,28 December 2020,12,4,0,49,0,1,34,25.5,15.6,19.3,26.2,31.7,34.5
EnglandRegion,West Midlands,4 January 2021,7,2,0,77,0,0,14,23.8,15.8,19.2,23.5,28.0,32.3
EnglandRegion,West Midlands,11 January 2021,9,9,0,66,1,1,14,26.5,16.6,20.6,28.7,32.4,34.2
EnglandRegion,West Midlands,18 January 2021,24,6,0,58,0,0,11,29.2,18.0,26.8,31.1,33.9,35.0
EnglandRegion,West Midlands,25 January 2021,15,16,0,56,0,1,12,28.9,18.5,23.5,31.6,33.7,35.0
EnglandRegion,West Midlands,1 February 2021,23,7,0,64,0,0,6,28.5,17.5,24.6,30.9,33.2,34.7
EnglandRegion,West Midlands,8 February 2021,23,5,0,71,0,0,2,28.5,18.1,25.1,31.2,33.6,34.6
EnglandRegion,West Midlands,15 February 2021,28,12,0,59,0,2,0,29.0,20.5,25.6,31.9,33.5,35.0
EnglandRegion,West Midlands,22 February 2021,30,7,0,60,0,0,3,31.3,27.0,29.9,32.3,33.8,34.7
EnglandRegion,East of England,21 September 2020,9,9,0,9,9,0,64,26.0,13.1,21.3,27.5,32.2,33.3
EnglandRegion,East of England,28 September 2020,21,4,0,17,0,0,58,26.2,15.9,20.6,27.6,33.3,34.2
EnglandRegion,East of England,5 October 2020,53,12,0,6,0,0,29,30.0,19.0,27.4,33.1,34.1,35.1
EnglandRegion,East of England,12 October 2020,17,2,0,13,0,3,65,26.7,17.6,21.5,28.8,32.2,34.3
EnglandRegion,East of England,19 October 2020,20,8,0,12,0,0,61,26.9,18.3,21.3,27.7,32.8,34.1
EnglandRegion,East of England,26 October 2020,16,4,0,16,0,1,62,26.4,17.3,20.8,27.5,31.8,33.6
EnglandRegion,East of England,2 November 2020,14,9,0,17,0,0,60,27.4,17.4,21.8,29.0,32.8,33.9
EnglandRegion,East of England,9 November 2020,13,10,0,23,1,0,52,26.7,17.4,20.3,29.1,33.0,34.8
EnglandRegion,East of England,16 November 2020,12,1,0,22,1,0,63,27.5,19.6,23.4,28.8,31.7,33.6
EnglandRegion,East of England,23 November 2020,16,6,0,33,0,3,42,27.1,18.1,22.2,28.8,32.2,33.7
EnglandRegion,East of England,30 November 2020,17,1,0,37,0,3,41,27.6,19.1,22.3,29.4,32.2,34.3
EnglandRegion,East of England,7 December 2020,8,2,0,53,0,2,35,25.0,16.9,20.7,26.0,29.6,31.6
EnglandRegion,East of England,14 December 2020,6,4,0,68,1,0,22,23.1,14.5,16.7,22.3,30.1,32.7
EnglandRegion,East of England,21 December 2020,11,1,0,73,1,0,15,24.1,14.8,17.8,24.9,30.4,32.5
EnglandRegion,East of England,28 December 2020,16,1,0,70,0,0,13,24.8,16.4,19.0,25.1,30.1,33.8
EnglandRegion,East of England,4 January 2021,8,3,0,77,1,1,12,24.8,15.8,18.8,26.2,30.0,32.2
EnglandRegion,East of England,11 January 2021,23,13,0,54,1,0,8,29.4,18.4,26.1,32.2,34.2,35.0
EnglandRegion,East of England,18 January 2021,21,11,0,62,1,1,4,29.1,18.5,26.5,31.2,33.5,34.8
